Step,TrueNoise,ResidualNoise,ReductionRatio
414,-0.116099,-0.230204,-98.28
415,-0.110048,-0.246013,-123.55
416,-0.103795,-0.260148,-150.64
417,-0.097458,-0.272526,-179.63
418,-0.091010,-0.282949,-210.90
419,-0.084532,-0.291360,-244.67
420,-0.078048,-0.297670,-281.39
421,-0.071484,-0.301736,-322.10
422,-0.064931,-0.303575,-367.54
423,-0.058410,-0.303108,-418.93
424,-0.051885,-0.300320,-478.81
425,-0.045453,-0.295200,-549.47
426,-0.038893,-0.287549,-639.34
427,-0.032584,-0.277812,-752.60
428,-0.026253,-0.265725,-912.17
429,-0.020089,-0.251543,-1152.15
430,-0.013908,-0.235148,-1590.72
431,-0.007836,-0.216827,-2667.07
432,-0.001777,-0.196584,-10964.42
433,0.004196,-0.174683,-4063.41
434,0.010076,-0.151246,-1401.11
435,0.016013,-0.126274,-688.55
436,0.021819,-0.100206,-359.25
437,0.027554,-0.073242,-165.81
438,0.033213,-0.045527,-37.08
439,0.038919,-0.017306,55.53
440,0.044616,0.011116,75.09
441,0.050196,0.039497,21.31
442,0.055908,0.067819,-21.31
443,0.061444,0.095265,-55.04
444,0.067002,0.122079,-82.20
445,0.072519,0.147701,-103.67
446,0.078081,0.172037,-120.33
447,0.083563,0.194825,-133.15
448,0.089153,0.216022,-142.30
449,0.094634,0.235086,-148.42
450,0.100024,0.251867,-151.81
451,0.105338,0.266288,-152.80
452,0.110713,0.278381,-151.44
453,0.116054,0.287786,-147.97
454,0.121361,0.294660,-142.80
455,0.126562,0.298732,-136.04
456,0.131595,0.299895,-127.89
457,0.136544,0.298319,-118.48
458,0.141315,0.293749,-107.87
459,0.146049,0.286514,-96.18
460,0.150605,0.276523,-83.61
461,0.154785,0.263638,-70.33
462,0.158875,0.248420,-56.36
463,0.162792,0.230791,-41.77
464,0.166393,0.210712,-26.64
465,0.169742,0.188466,-11.03
466,0.172714,0.164190,4.94
467,0.269900,0.232647,13.80
468,0.341008,0.273627,19.76
469,0.390871,0.292425,25.19
470,0.431595,0.301297,30.19
471,0.466725,0.304305,34.80
472,0.497812,0.302993,39.14
473,0.525840,0.298689,43.20
474,0.551140,0.292107,47.00
475,0.574250,0.195165,66.01
476,0.595217,0.052551,91.17
477,0.614491,-0.038535,93.73
478,0.632046,-0.114140,81.94
479,0.647947,-0.179617,72.28
480,0.662187,-0.239890,63.77
481,0.674946,-0.294175,56.42
482,0.686173,-0.344103,49.85
483,0.696063,-0.389460,44.05
484,0.704627,-0.430070,38.96
485,0.711856,-0.465586,34.60
486,0.717741,-0.497114,30.74
487,0.722320,-0.524668,27.36
488,0.725624,-0.548529,24.41
489,0.727684,-0.568014,21.94
490,0.728650,-0.583915,19.86
491,0.728425,-0.595171,18.29
492,0.727077,-0.602384,17.15
493,0.724701,-0.605437,16.46
494,0.721351,-0.604791,16.16
495,0.716934,-0.600666,16.22
496,0.711561,-0.592563,16.72
497,0.705173,-0.581103,17.59
498,0.697923,-0.566070,18.89
499,0.689926,-0.547347,20.67
500,0.681206,-0.526093,22.77
501,0.671667,-0.501601,25.32
502,0.661347,-0.474602,28.24
503,0.650376,-0.445461,31.51
504,0.638864,-0.413659,35.25
505,0.626749,-0.380053,39.36
506,0.614018,-0.344735,43.86
507,0.600797,-0.307470,48.82
508,0.587102,-0.269183,54.15
509,0.572995,-0.229238,59.99
510,0.558475,-0.188203,66.30
511,0.543572,-0.147058,72.95
512,0.528404,-0.104758,80.17
513,0.512953,-0.062110,87.89
514,0.497223,-0.019645,96.05
515,0.481127,0.022654,95.29
516,0.464847,0.065244,85.96
517,0.448449,0.107350,76.06
518,0.431751,0.149261,65.43
519,0.414883,0.190030,54.20
520,0.397944,0.230601,42.05
521,0.380819,0.270937,28.85
522,0.363316,0.312327,14.03
523,0.345745,0.354174,-2.44
524,0.327822,0.396973,-21.09
525,0.309741,0.443555,-43.20
526,0.291255,0.499062,-71.35
527,0.272448,0.576063,-111.44
528,0.253283,0.722524,-185.26
529,0.233492,0.696697,-198.38
530,0.213224,0.667753,-213.17
