Step,R,Suppression,X0,X1
372,0.014560,0.985546,-0.519434,-0.519434
373,0.013130,0.986956,-0.506181,-0.506181
374,0.011801,0.988268,-0.492858,-0.492858
375,0.010570,0.989486,-0.479468,-0.479468
376,0.009433,0.990612,-0.466015,-0.466015
377,0.008385,0.991650,-0.452500,-0.452500
378,0.007423,0.992604,-0.438925,-0.438925
379,0.006543,0.993478,-0.425294,-0.425294
380,0.005741,0.994276,-0.411609,-0.411609
381,0.005012,0.995001,-0.397871,-0.397871
382,0.004352,0.995657,-0.384083,-0.384083
383,0.003758,0.996249,-0.370248,-0.370248
384,0.003226,0.996780,-0.356368,-0.356368
385,0.002750,0.997253,-0.342444,-0.342444
386,0.002328,0.997674,-0.328479,-0.328479
387,0.001956,0.998046,-0.314476,-0.314476
388,0.001629,0.998372,-0.300436,-0.300436
389,0.001345,0.998656,-0.286360,-0.286360
390,0.001099,0.998902,-0.272252,-0.272252
391,0.000888,0.999113,-0.258113,-0.258113
392,0.000708,0.999292,-0.243945,-0.243945
393,0.000557,0.999443,-0.229750,-0.229750
394,0.000432,0.999569,-0.215530,-0.215530
395,0.000328,0.999672,-0.201285,-0.201285
396,0.000245,0.999755,-0.187019,-0.187019
397,0.000178,0.999822,-0.172733,-0.172733
398,0.000126,0.999874,-0.158428,-0.158428
399,0.000086,0.999914,-0.144107,-0.144107
400,0.000057,0.999943,-0.129770,-0.129770
401,0.000035,0.999965,-0.115419,-0.115419
402,0.000021,0.999979,-0.101057,-0.101057
403,0.000011,0.999989,-0.086683,-0.086683
404,0.000005,0.999995,-0.072301,-0.072301
405,0.000002,0.999998,-0.057911,-0.057911
406,0.000001,0.999999,-0.043515,-0.043515
407,0.000000,1.000000,-0.029114,-0.029114
408,0.000000,1.000000,-0.014710,-0.014710
409,0.000000,1.000000,-0.000304,-0.000304
410,0.000000,1.000000,0.014102,0.014102
411,0.000000,1.000000,0.028507,0.028507
412,0.000001,0.999999,0.042909,0.042909
413,0.000002,0.999998,0.057308,0.057308
414,0.000005,0.999995,0.071701,0.071701
415,0.000011,0.999989,0.086087,0.086087
416,0.000020,0.999980,0.100465,0.100465
417,0.000035,0.999965,0.114833,0.114833
418,0.000056,0.999944,0.129189,0.129189
419,0.000085,0.999915,0.143532,0.143532
420,0.000124,0.999876,0.157861,0.157861
421,0.000176,0.999824,0.172174,0.172174
422,0.000242,0.999758,0.186470,0.186470
423,0.000325,0.999675,0.200746,0.200746
424,0.000427,0.999573,0.215001,0.215001
425,0.000552,0.999448,0.229233,0.229233
426,0.000702,0.999298,0.243441,0.243441
427,0.000881,0.999119,0.257623,0.257623
428,0.001091,0.998909,0.271776,0.271776
429,0.001336,0.998665,0.285900,0.285900
430,0.001620,0.998381,0.299992,0.299992
431,0.001945,0.998056,0.314051,0.314051
432,0.002317,0.997686,0.328073,0.328073
433,0.002738,0.997266,0.342058,0.342058
434,0.003213,0.996793,0.356004,0.356004
435,0.003745,0.996262,0.369907,0.369907
436,0.004338,0.995671,0.383766,0.383766
437,0.004997,0.995015,0.397580,0.397580
438,0.005726,0.994290,0.411344,0.411344
439,0.006529,0.993493,0.425058,0.425058
440,0.007409,0.992618,0.438719,0.438719
441,0.008372,0.991663,0.452325,0.452325
442,0.009421,0.990623,0.465873,0.465873
443,0.010560,0.989495,0.479360,0.479360
444,0.011794,0.988275,0.492785,0.492785
445,0.013126,0.986960,0.506145,0.506145
446,0.014560,0.985545,0.519438,0.519438
447,0.016100,0.984029,0.532660,0.532660
448,0.017750,0.982407,0.545810,0.545810
449,0.019513,0.980676,0.558884,0.558884
450,0.021392,0.978835,0.571881,0.571881
451,0.023391,0.976880,0.584798,0.584798
452,0.025513,0.974810,0.597631,0.597631
453,0.027761,0.972621,0.610380,0.610380
454,0.030137,0.970313,0.623040,0.623040
455,0.032643,0.967884,0.635610,0.635610
456,0.035283,0.965332,0.648087,0.648087
457,0.038058,0.962658,0.660469,0.660469
458,0.040969,0.959859,0.672753,0.672753
459,0.044018,0.956937,0.684937,0.684937
460,0.047207,0.953890,0.697018,0.697018
461,0.050536,0.950720,0.708994,0.708994
462,0.054006,0.947427,0.720863,0.720863
463,0.057617,0.944011,0.732622,0.732622
464,0.061370,0.940476,0.744270,0.744270
465,0.065263,0.936821,0.755805,0.755805
466,0.069298,0.933049,0.767224,0.767224
467,0.073472,0.929162,0.778525,0.778525
468,0.077785,0.925164,0.789707,0.789707
469,0.082235,0.921056,0.800767,0.800767
470,0.086821,0.916842,0.811705,0.811705
471,0.091540,0.912525,0.822518,0.822518
472,0.096391,0.908109,0.833205,0.833205
473,0.101371,0.903597,0.843765,0.843765
474,0.106478,0.898995,0.854196,0.854196
475,0.111708,0.894306,0.864497,0.864497
476,0.117058,0.889534,0.874666,0.874666
477,0.122524,0.884684,0.884704,0.884704
478,0.128104,0.879762,0.894609,0.894609
479,0.133793,0.874771,0.904379,0.904379
480,0.139587,0.869718,0.914015,0.914015
481,0.145482,0.864606,0.923516,0.923516
482,0.151473,0.859441,0.932881,0.932881
483,0.157557,0.854229,0.942110,0.942110
484,0.163727,0.848973,0.951202,0.951202
485,0.169981,0.843681,0.960157,0.960157
486,0.176312,0.838356,0.968976,0.968976
487,0.182716,0.833005,0.977657,0.977657
488,0.189188,0.827631,0.986202,0.986202
489,0.195722,0.822240,0.994609,0.994609
490,0.202314,0.816838,1.002880,1.002880
491,0.208959,0.811429,1.011015,1.011015
492,0.215650,0.806017,1.019013,1.019013
493,0.222384,0.800608,1.026876,1.026876
494,0.229154,0.795206,1.034604,1.034604
495,0.235956,0.789816,1.042197,1.042197
496,0.242784,0.784441,1.049657,1.049657
497,0.249633,0.779086,1.056983,1.056983
498,0.256499,0.773756,1.064177,1.064177
499,0.263375,0.768453,1.071239,1.071239
500,0.270258,0.763182,1.078170,1.078170
501,0.277142,0.757947,1.084971,1.084971
502,0.284023,0.752750,1.091643,1.091643
503,0.290895,0.747594,1.098187,1.098187
504,0.297754,0.742484,1.104604,1.104604
505,0.304595,0.737422,1.110895,1.110895
506,0.311415,0.732410,1.117062,1.117062
507,0.318207,0.727452,1.123104,1.123104
508,0.324969,0.722550,1.129024,1.129024
509,0.331696,0.717705,1.134822,1.134822
510,0.338384,0.712921,1.140499,1.140499
511,0.345029,0.708200,1.146057,1.146057
512,0.351627,0.703542,1.151498,1.151498
513,0.358175,0.698951,1.156821,1.156821
514,0.364668,0.694427,1.162029,1.162029
515,0.371104,0.689972,1.167122,1.167122
516,0.377478,0.685588,1.172102,1.172102
517,0.383788,0.681276,1.176969,1.176969
518,0.390030,0.677037,1.181726,1.181726
519,0.396201,0.672871,1.186373,1.186373
520,0.402299,0.668781,1.190912,1.190912
521,0.408320,0.664766,1.195343,1.195343
522,0.414262,0.660828,1.199669,1.199669
523,0.420122,0.656966,1.203889,1.203889
524,0.425898,0.653183,1.208005,1.208005
525,0.431586,0.649478,1.212019,1.212019
526,0.437185,0.645852,1.215931,1.215931
527,0.442693,0.642304,1.219742,1.219742
528,0.448107,0.638836,1.223455,1.223455
529,0.453425,0.635448,1.227069,1.227069
530,0.458646,0.632139,1.230585,1.230585
531,0.463767,0.628910,1.234006,1.234006
532,0.468786,0.625762,1.237331,1.237331
533,0.473702,0.622693,1.240563,1.240563
534,0.478514,0.619704,1.243701,1.243701
535,0.483218,0.616795,1.246747,1.246747
536,0.487816,0.613966,1.249702,1.249702
537,0.492303,0.611217,1.252566,1.252566
538,0.496680,0.608547,1.255341,1.255341
539,0.500946,0.605957,1.258027,1.258027
540,0.505098,0.603447,1.260626,1.260626
541,0.509135,0.601015,1.263138,1.263138
542,0.513057,0.598663,1.265563,1.265563
543,0.516863,0.596389,1.267904,1.267904
544,0.520551,0.594193,1.270159,1.270159
545,0.524121,0.592076,1.272331,1.272331
546,0.527571,0.590036,1.274420,1.274420
547,0.530902,0.588075,1.276427,1.276427
548,0.534111,0.586190,1.278351,1.278351
549,0.537199,0.584383,1.280195,1.280195
550,0.540164,0.582653,1.281958,1.281958
551,0.543006,0.580999,1.283641,1.283641
552,0.545725,0.579422,1.285245,1.285245
553,0.548319,0.577920,1.286770,1.286770
554,0.550789,0.576495,1.288216,1.288216
555,0.553133,0.575145,1.289585,1.289585
556,0.555352,0.573870,1.290876,1.290876
557,0.557444,0.572671,1.292090,1.292090
558,0.559410,0.571546,1.293228,1.293228
559,0.561249,0.570496,1.294289,1.294289
560,0.562961,0.569520,1.295275,1.295275
561,0.564545,0.568619,1.296185,1.296185
562,0.566001,0.567791,1.297020,1.297020
563,0.567329,0.567038,1.297780,1.297780
564,0.568529,0.566358,1.298466,1.298466
565,0.569600,0.565752,1.299077,1.299077
566,0.570543,0.565219,1.299614,1.299614
567,0.571356,0.564759,1.300077,1.300077
568,0.572041,0.564372,1.300467,1.300467
569,0.572597,0.564059,1.300782,1.300782
570,0.573023,0.563819,1.301024,1.301024
571,0.573320,0.563651,1.301193,1.301193
572,0.573488,0.563556,1.301288,1.301288
573,0.573526,0.563535,1.301310,1.301310
574,0.573435,0.563586,1.301258,1.301258
575,0.573215,0.563710,1.301134,1.301134
576,0.572866,0.563907,1.300935,1.300935
577,0.572388,0.564177,1.300664,1.300664
578,0.571781,0.564519,1.300319,1.300319
579,0.571045,0.564935,1.299900,1.299900
580,0.570180,0.565424,1.299407,1.299407
581,0.569186,0.565986,1.298841,1.298841
582,0.568064,0.566621,1.298201,1.298201
583,0.566815,0.567330,1.297486,1.297486
584,0.565437,0.568112,1.296697,1.296697
585,0.563931,0.568968,1.295833,1.295833
586,0.562299,0.569898,1.294894,1.294894
587,0.560539,0.570901,1.293880,1.293880
588,0.558653,0.571979,1.292790,1.292790
589,0.556640,0.573131,1.291624,1.291624
590,0.554502,0.574358,1.290382,1.290382
591,0.552238,0.575660,1.289063,1.289063
592,0.549850,0.577036,1.287667,1.287667
593,0.547337,0.578488,1.286193,1.286193
594,0.544700,0.580016,1.284641,1.284641
595,0.541940,0.581619,1.283011,1.283011
596,0.539058,0.583298,1.281301,1.281301
597,0.536053,0.585053,1.279512,1.279512
598,0.532927,0.586884,1.277643,1.277643
599,0.529681,0.588793,1.275693,1.275693
600,0.526315,0.590778,1.273661,1.273661
601,0.522830,0.592840,1.271547,1.271547
602,0.519227,0.594980,1.269351,1.269351
