Step,R,Suppression,EnergyDensity
536,0.097129,0.907438,0.046610
537,0.095397,0.909012,0.045495
538,0.093581,0.910664,0.044332
539,0.091688,0.912390,0.043131
540,0.089725,0.914182,0.041898
541,0.087701,0.916035,0.040624
542,0.085622,0.917942,0.039329
543,0.083495,0.919896,0.038022
544,0.081329,0.921891,0.036691
545,0.079129,0.923920,0.035346
546,0.076904,0.925978,0.033996
547,0.074661,0.928058,0.032659
548,0.072405,0.930154,0.031326
549,0.070143,0.932261,0.029991
550,0.067881,0.934371,0.028663
551,0.065626,0.936481,0.027375
552,0.063383,0.938584,0.026089
553,0.061156,0.940677,0.024834
554,0.058951,0.942753,0.023605
555,0.056771,0.944810,0.022401
556,0.054623,0.946842,0.021239
557,0.052508,0.948847,0.020100
558,0.050430,0.950821,0.019007
559,0.048392,0.952760,0.017948
560,0.046394,0.954665,0.016919
561,0.044438,0.956535,0.015930
562,0.042525,0.958367,0.014979
563,0.040654,0.960161,0.014064
564,0.038828,0.961916,0.013182
565,0.037046,0.963632,0.012340
566,0.035310,0.965306,0.011532
567,0.033619,0.966940,0.010762
568,0.031975,0.968531,0.010027
569,0.030377,0.970080,0.009326
570,0.028826,0.971586,0.008659
571,0.027322,0.973048,0.008027
572,0.025866,0.974466,0.007426
573,0.024456,0.975840,0.006859
574,0.023095,0.977170,0.006323
575,0.021780,0.978455,0.005818
576,0.020513,0.979696,0.005342
577,0.019292,0.980893,0.004895
578,0.018119,0.982045,0.004478
579,0.016991,0.983152,0.004086
580,0.015910,0.984216,0.003720
581,0.014874,0.985236,0.003379
582,0.013883,0.986213,0.003063
583,0.012936,0.987148,0.002770
584,0.012032,0.988040,0.002498
585,0.011172,0.988890,0.002247
586,0.010354,0.989700,0.002016
587,0.009577,0.990469,0.001804
588,0.008840,0.991199,0.001609
589,0.008143,0.991890,0.001432
590,0.007485,0.992543,0.001270
591,0.006864,0.993159,0.001123
592,0.006280,0.993740,0.000989
593,0.005731,0.994285,0.000869
594,0.005216,0.994797,0.000760
595,0.004735,0.995276,0.000663
596,0.004286,0.995723,0.000576
597,0.003868,0.996139,0.000498
598,0.003480,0.996526,0.000429
599,0.003120,0.996885,0.000368
600,0.002788,0.997216,0.000314
601,0.002482,0.997521,0.000267
602,0.002200,0.997802,0.000225
603,0.001943,0.998059,0.000190
604,0.001708,0.998294,0.000159
605,0.001494,0.998507,0.000132
606,0.001301,0.998700,0.000109
607,0.001126,0.998874,0.000089
608,0.000969,0.999031,0.000073
609,0.000829,0.999171,0.000059
610,0.000704,0.999296,0.000047
611,0.000594,0.999406,0.000038
612,0.000497,0.999503,0.000030
613,0.000412,0.999588,0.000023
614,0.000338,0.999662,0.000018
615,0.000275,0.999725,0.000014
616,0.000221,0.999779,0.000010
617,0.000175,0.999825,0.000008
618,0.000137,0.999863,0.000006
619,0.000105,0.999895,0.000004
620,0.000079,0.999921,0.000003
621,0.000058,0.999942,0.000002
622,0.000042,0.999958,0.000001
623,0.000029,0.999971,0.000001
624,0.000020,0.999980,0.000001
625,0.000013,0.999987,0.000000
626,0.000008,0.999992,0.000000
627,0.000004,0.999996,0.000000
628,0.000002,0.999998,0.000000
629,0.000001,0.999999,0.000000
630,0.000000,1.000000,0.000000
631,0.000000,1.000000,0.000000
632,0.000000,1.000000,0.000000
633,0.000000,1.000000,0.000000
634,0.000000,1.000000,0.000000
635,0.000000,1.000000,0.000000
636,0.000000,1.000000,0.000000
637,0.000000,1.000000,0.000000
638,0.000001,0.999999,0.000000
639,0.000002,0.999998,0.000000
640,0.000004,0.999996,0.000000
641,0.000007,0.999993,0.000000
642,0.000012,0.999988,0.000000
643,0.000019,0.999981,0.000001
