Step,TrueNoise,ResidualNoise,ReductionRatio
730,0.464176,0.413160,10.99
731,0.474409,0.318292,32.91
732,0.483737,0.240386,50.31
733,0.492237,0.182772,62.87
734,0.499835,0.130889,73.81
735,0.506505,0.085862,83.05
736,0.512349,0.041885,91.82
737,0.517489,0.001326,99.74
738,0.521826,-0.038043,92.71
739,0.525452,-0.073915,85.93
740,0.528267,-0.108673,79.43
741,0.530437,-0.141769,73.27
742,0.531888,-0.171655,67.73
743,0.532663,-0.198378,62.76
744,0.532677,-0.223258,58.09
745,0.532058,-0.246348,53.70
746,0.530877,-0.266885,49.73
747,0.529070,-0.284383,46.25
748,0.526637,-0.300124,43.01
749,0.523637,-0.312407,40.34
750,0.520046,-0.322382,38.01
751,0.515935,-0.330501,35.94
752,0.511286,-0.335356,34.41
753,0.506028,-0.338105,33.18
754,0.500373,-0.337589,32.53
755,0.494256,-0.335554,32.11
756,0.487808,-0.330393,32.27
757,0.480979,-0.323173,32.81
758,0.473733,-0.314516,33.61
759,0.466093,-0.303045,34.98
760,0.458148,-0.290217,36.65
761,0.449729,-0.274848,38.89
762,0.441087,-0.258010,41.51
763,0.432056,-0.240017,44.45
764,0.422807,-0.219392,48.11
765,0.413264,-0.197708,52.16
766,0.403456,-0.174655,56.71
767,0.393315,-0.150357,61.77
768,0.382969,-0.124390,67.52
769,0.372396,-0.097860,73.72
770,0.361578,-0.070657,80.46
771,0.350615,-0.042546,87.87
772,0.339364,-0.013883,95.91
773,0.327790,0.015287,95.34
774,0.316057,0.045497,85.60
775,0.304067,0.076638,74.80
776,0.291886,0.108085,62.97
777,0.279452,0.141249,49.46
778,0.266741,0.176580,33.80
779,0.253625,0.213138,15.96
780,0.240305,0.253468,-5.48
781,0.226480,0.301560,-33.15
782,0.212292,0.368431,-73.55
783,0.197534,0.482956,-144.49
784,0.182186,0.468433,-157.12
785,0.166158,0.451550,-171.76
786,0.149216,0.432006,-189.52
787,0.131197,0.409784,-212.34
788,0.111780,0.384567,-244.04
789,0.090461,0.355981,-293.52
790,0.066337,0.323171,-387.16
791,0.037533,0.284425,-657.80
792,-0.001286,0.234437,-18129.57
793,-0.076692,0.146832,-91.46
794,-0.075058,0.135231,-80.17
795,-0.073396,0.122815,-67.33
796,-0.071621,0.109777,-53.28
797,-0.069731,0.096261,-38.05
798,-0.067668,0.082414,-21.79
799,-0.065624,0.068210,-3.94
800,-0.063464,0.053876,15.11
801,-0.061204,0.039544,35.39
802,-0.058839,0.025355,56.91
803,-0.056553,0.011228,80.15
804,-0.054139,-0.002512,95.36
